# H1+ZEUS combined NC ins836107 — Aaron et al., JHEP 01 (2010) 109.
# Fractions are symmetric averages of +/- %% columns on each sigma_r CSV row.
# HEPData ins836107 record text: first sys = uncorrelated experimental; second = correlated experimental;
# sys_3..sys_5 = three correlated combination sources; plus 0.5%% overall normalisation row.
# z_Q2_over_s_x = Q^2/(E_cm^2 * x); equals quoted y for standard DIS kinematics at fixed E_cm.
# sigma_rel_total_quadrature matches sqrt(sum of squared listed components) when none are missing.
Q2_GeV2,x,y_Bjorken,Ecm_GeV,F2,z_Q2_over_s_x,sigma_rel_stat,sigma_rel_sys_uncorrelated_experimental,sigma_rel_sys_correlated_experimental,sigma_rel_sys_combination_1,sigma_rel_sys_combination_2,sigma_rel_sys_combination_3,sigma_rel_sys_overall_normalisation,sigma_rel_total_quadrature_listed_sigma_r,sigma_rel_total_quadrature_rebuilt
6.5,0.0002,0.36,301.0,1.134,0.35871568746481824,0.0115,0.0141,0.0078000000000000005,0.0032,0.0029,0.0040999999999999995,0.005,0.02126875642815066,0.02126875642815066
6.5,0.0002,0.321,319.0,1.147,0.31937579229763857,0.0108,0.0063,0.0069,0.002,0.0029,0.0024,0.005,0.015719732822156995,0.015719732822156995
6.5,0.00032,0.201,319.0,1.01,0.19960987018602408,0.0078000000000000005,0.0073,0.0067,0.0025,0.0018,0.001,0.005,0.01394668419374297,0.01394668419374297
6.5,0.0005,0.128,319.0,0.939,0.12775031691905545,0.0074,0.0116,0.0073,0.0022,0.0017000000000000001,0.0013,0.005,0.01664421821534433,0.01664421821534433
6.5,0.0008,0.08,319.0,0.857,0.07984394807440964,0.0079,0.0089,0.0073,0.0036,0.0001,0.003,0.005,0.015552491761772454,0.015552491761772454
6.5,0.0013,0.049,319.0,0.761,0.04913473727655979,0.008,0.0108,0.0072,0.0021,0.0002,0.0011,0.005,0.016221590550867693,0.016221590550867693
6.5,0.002,0.032,319.0,0.699,0.03193757922976386,0.0075,0.0087,0.0069,0.0011,0.0005,0.003,0.005,0.014663219291819924,0.014663219291819924
6.5,0.0032,0.02,319.0,0.644,0.01996098701860241,0.0067,0.012,0.0083,0.0025,0.0007000000000000001,0.0011,0.005,0.017050806432541542,0.017050806432541542
6.5,0.005,0.013,319.0,0.581,0.012775031691905542,0.009399999999999999,0.0085,0.0089,0.0016,0.0005,0.0028000000000000004,0.005,0.016597288935244817,0.016597288935244817
6.5,0.013,0.005,319.0,0.485,0.004913473727655978,0.0068000000000000005,0.0182,0.0125,0.0024,0.0024,0.008100000000000001,0.005,0.02521626459252044,0.02521626459252044
6.5,0.02,0.003,319.0,0.497,0.0031937579229763856,0.011399999999999999,0.0189,0.0159,0.0026,0.0003,0.0039000000000000003,0.005,0.02805423319215836,0.02805423319215836
8.5,0.0002,0.471,301.0,1.258,0.4690897451463008,0.010700000000000001,0.008100000000000001,0.0083,0.0031,0.010700000000000001,0.0027,0.005,0.02013405075984463,0.02013405075984463
8.5,0.0002,0.42,319.0,1.213,0.41764526685075815,0.0152,0.0222,0.0079,0.0018,0.0003,0.0001,0.005,0.02854172384422497,0.02854172384422497
8.5,0.00032,0.262,319.0,1.126,0.2610282917817238,0.0085,0.0084,0.0066,0.0032,0.0005,0.0016,0.005,0.014980654191322888,0.014980654191322888
8.5,0.0005,0.168,319.0,1.026,0.16705810674030327,0.008100000000000001,0.009300000000000001,0.0067,0.0022,0.0019,0.0015,0.005,0.015254179755070414,0.015254179755070414
8.5,0.0008,0.105,319.0,0.937,0.10441131671268954,0.0088,0.008,0.0069,0.0023,0.0003,0.0009,0.005,0.014840485167271319,0.014840485167271319
8.5,0.0013,0.065,319.0,0.845,0.06425311797703971,0.0091,0.0083,0.0068000000000000005,0.0023,0.0002,0.0025,0.005,0.015314045840338863,0.015314045840338863
8.5,0.002,0.042,319.0,0.773,0.04176452668507582,0.0098,0.0132,0.0076,0.0019,0.0002,0.0014000000000000002,0.005,0.018938056922503953,0.018938056922503953
8.5,0.0032,0.026,319.0,0.664,0.026102829178172384,0.0103,0.013300000000000001,0.008199999999999999,0.0017000000000000001,0.0022,0.0027,0.005,0.019754493159785197,0.019754493159785197
8.5,0.005,0.017,319.0,0.635,0.016705810674030326,0.0076,0.0125,0.008,0.0025,0.0003,0.0037,0.005,0.01797331355092878,0.01797331355092878
8.5,0.02,0.004,319.0,0.458,0.0041764526685075815,0.008199999999999999,0.018500000000000003,0.0158,0.0014000000000000002,0.0042,0.0044,0.005,0.026890332835426193,0.026890332835426193
10.0,0.0002,0.554,301.0,1.306,0.5518702884074127,0.021,0.013300000000000001,0.0134,0.005699999999999999,0.0154,0.0023,0.005,0.03312687730529396,0.03312687730529396
10.0,0.00032,0.309,319.0,1.169,0.3070921079784986,0.019,0.011200000000000002,0.0084,0.0037,0.0028000000000000004,0.0003,0.005,0.024568679248181003,0.024568679248181003
10.0,0.0005,0.198,319.0,1.074,0.19653894910623915,0.0177,0.011899999999999999,0.0076,0.0017000000000000001,0.0006,0.0022,0.005,0.02336129277244733,0.02336129277244733
10.0,0.0008,0.124,319.0,0.985,0.12283684319139945,0.0183,0.0131,0.0073,0.002,0.0011,0.0009,0.005,0.024306583470327537,0.024306583470327537
10.0,0.0013,0.076,319.0,0.899,0.07559190350239967,0.021099999999999997,0.0121,0.009300000000000001,0.0001,0.0001,0.0003,0.005,0.026518295571171236,0.026518295571171236
10.0,0.002,0.049,319.0,0.809,0.04913473727655979,0.0203,0.0177,0.008,0.0023,0.0004,0.0039000000000000003,0.005,0.02889705867385122,0.02889705867385122
10.0,0.005,0.02,319.0,0.633,0.01965389491062391,0.0111,0.0077,0.008199999999999999,0.0019,0.0002,0.004699999999999999,0.005,0.01733435894401636,0.01733435894401636
10.0,0.02,0.005,319.0,0.516,0.004913473727655978,0.0105,0.0127,0.0128,0.0033,0.0001,0.0051,0.005,0.0223,0.0223
12.0,0.0002,0.593,319.0,1.414,0.5896168473187174,0.0121,0.0070999999999999995,0.0241,0.0028000000000000004,0.0259,0.0012,0.005,0.03850610341231634,0.03850610341231634
12.0,0.00032,0.416,301.0,1.262,0.4139027163055595,0.0078000000000000005,0.0151,0.0085,0.0039000000000000003,0.0063,0.0027,0.005,0.021172859986312666,0.021172859986312666
12.0,0.00032,0.371,319.0,1.262,0.36851052957419833,0.008100000000000001,0.0059,0.0074,0.0027,0.0055000000000000005,0.0013,0.005,0.014812494725737459,0.014812494725737459
12.0,0.0005,0.237,319.0,1.163,0.23584673892748698,0.0054,0.0066,0.006500000000000001,0.0027,0.0013,0.0009,0.005,0.012237646832622684,0.012237646832622684
12.0,0.0008,0.148,319.0,1.059,0.14740421182967936,0.0068000000000000005,0.005600000000000001,0.0064,0.0025,0.0001,0.0013,0.005,0.012308939840619907,0.012308939840619907
12.0,0.0013,0.091,319.0,0.942,0.0907102842028796,0.0102,0.0083,0.006500000000000001,0.0021,0.0008,0.0018,0.005,0.015762931199494592,0.015762931199494592
12.0,0.002,0.059,319.0,0.857,0.058961684731871744,0.0103,0.009399999999999999,0.006500000000000001,0.001,0.0002,0.0015,0.005,0.016278513445643617,0.016278513445643617
12.0,0.0032,0.037,319.0,0.758,0.03685105295741984,0.011200000000000002,0.013600000000000001,0.0075,0.0017000000000000001,0.0013,0.0027,0.005,0.020087807247183554,0.020087807247183554
12.0,0.005,0.024,319.0,0.682,0.023584673892748695,0.0085,0.0126,0.008,0.0022,0.0008,0.0013,0.005,0.018088117646676227,0.018088117646676227
12.0,0.02,0.006,319.0,0.492,0.005896168473187174,0.009000000000000001,0.018500000000000003,0.0127,0.0017000000000000001,0.0034999999999999996,0.0046,0.005,0.025413382301456847,0.025413382301456847
15.0,0.00032,0.52,301.0,1.355,0.5173783953819494,0.009399999999999999,0.013600000000000001,0.0092,0.004699999999999999,0.010700000000000001,0.0011,0.005,0.02281994741448805,0.02281994741448805
15.0,0.00032,0.463,319.0,1.38,0.46063816196774793,0.0084,0.006999999999999999,0.013500000000000002,0.0026,0.0132,0.0012,0.005,0.022566568192793516,0.022566568192793516
