Q2,beta,x,xF2D3,rel_err,table,model_gcft_template,delta_rel_model_minus_data
75.0,0.2,0.0075,0.0312,7.970570870395671e-05,Table8.csv,0.033581912178242745,0.0763433390462419
75.0,0.4,0.00237,0.0444,0.00012345444503945575,Table8.csv,0.04296436914553482,-0.032334028253720254
75.0,0.4,0.00421,0.0405,0.00010288342918079664,Table8.csv,0.03682509057674633,-0.09073850427786845
75.0,0.4,0.0075,0.0236,6.609841147864296e-05,Table8.csv,0.03153878721920788,0.33638928894948644
75.0,0.4,0.0133,0.0318,8.57962703152066e-05,Table8.csv,0.027044556512353737,-0.14954224803919072
75.0,0.65,0.00237,0.0224,7.668767828015136e-05,Table8.csv,0.024178088708344557,0.07937896019395345
75.0,0.65,0.00421,0.0243,7.42159012611179e-05,Table8.csv,0.02442062316721501,0.0049639163462968285
75.0,0.65,0.0075,0.0314,8.348652585896722e-05,Table8.csv,0.024666819299258454,-0.2144325063930428
75.0,0.65,0.0133,0.0212,6.132699242584786e-05,Table8.csv,0.02491351549684021,0.17516582532265135
75.0,0.65,0.0237,0.0252,8.697700845625815e-05,Table8.csv,0.02516479902533375,-0.001396864074057524
75.0,0.9,0.00421,0.0234,0.00010590561835898981,Table8.csv,0.019775255498249694,-0.15490361118591056
75.0,0.9,0.0075,0.0109,6.726812023536856e-05,Table8.csv,0.015411508450538841,0.41389985784760014
75.0,0.9,0.0133,0.0145,8.417244204607587e-05,Table8.csv,0.0120344675005202,-0.17003672410205523
75.0,0.9,0.0237,0.0093,6.296824596572466e-05,Table8.csv,0.009377761333122629,0.008361433669099924
